SKU,name,URL to product,price,Retail Price,URL to image,URL to thumbnail image,Commission,Category,Subcategory,Description,SearchTerms,Status,MerchantID,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,StoreID,Manufacturer,PartNumber,MerchantCategory,MerchantSubCategory,ShortDescription,ISBN,UPC,CrossSell,MerchantGroup,MerchantSubgroup,CompatibleWith,CompareTo,QuantityDiscount,Bestseller,AddToCartURL,ReviewsRSSURL,Option1,Option2,Option3,Option4,Option5,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse
AAF174250,MED-E-LERT Pill Dispenser,http://www.arthritissupplies.com/med-e-lert-electronic-pill-reminder-dispenser.html,69.95,"",http://www.arthritissupplies.com/assets/images/med-e-lert.jpg,http://www.arthritissupplies.com/assets/images/med-e-lert.jpg,"",12,183,"The MED-E-LERT Electronic Pill Reminder, Organizer & Dispenser is a medication reminder and automated pill dispenser in one easy to use device. The most affordable device of its kind, the Med-E-Lert Automatic Pill Dispenser is ideal for use in both the home and care centers. The Med-E-Lert Automatic Pill Dispenser gives patients, caregivers, and loved ones peace of mind by ensuring that only the prescribed dose of medication is available and patient compliance is achieved.    Designed with safety and convenience in mind, the Med-E-Lert Automatic Pill Dispenser features a secured, tamper-proof, locking key system to avoid over-medication. With 28 medication compartments, the Med-E-Lert Automatic Pill Dispenser can be used for medication taken up to 4 times daily. Three different alarm tones and a blinking light alert the patient when medication needs to be taken and will not turn off until the pill dispenser is tilted on its side to dispense the pills. The Med-E-Lert Automatic Pill Dispenser includes three discs that can be inserted to indicate the day of the week and the time of day depending on the number of doses needed daily. Despite its compact size, the Med-E-Lert Automatic Pill Dispenser also features the largest pill compartments of any other pill dispenser.  The Med-E-Lert Automatic Pill Dispenser is designed especially for people with complicated daily medical regimes. Medical care facilities can enjoy the savings the Med-E-Lert Automatic Pill Dispenser brings them by reducing the need for personnel to distribute medication.   MED-E-LERT Electronic Pill Reminder & Dispenser Specifications:    Compartment Size: Holds Up To 18 Aspirin Size Pills.    Dimensions: 8 inch diameter by 1.5 inch high.    Number of Compartments: 28    Capacity: ONE Week's Supply Of Pills Up To FOUR Times per Day.    ","med e lert, medelert, pill organizer, medication dispenser, pill reminder, rheumatoid, osteoarthritis, elderly, seniors, handicap, disability, arthritis, therapy, utensils, tools, devices, aids, arthritic, products","",942,"","","","","",2,"The Wright Stuff, Inc.","",Around the House,Pill Organizers,Electronic Pill Reminder and Dispenser.,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
AAF174250S,Solid Cover MED-E-LERT Pill Dispenser,http://www.arthritissupplies.com/med-e-lert-electronic-pill-reminder-dispenser-with-solid-cover.html,69.95,"",http://www.arthritissupplies.com/assets/images/MedElertSolid.jpg,http://www.arthritissupplies.com/assets/images/MedElertSolid.jpg,"",12,183,"The MED-E-LERT Electronic Pill Reminder, Organizer & Dispenser will help you manage your medication and will help deter medication errors. This medication reminder and automated pill dispenser is easy to use and is the most affordable device of its kind. The Med-E-Lert Automatic Pill Dispenser is ideal for use in both the home and care centers. The Med-E-Lert Automatic Pill Dispenser gives patients, caregivers, and loved ones peace of mind by ensuring that only the prescribed dose of medication is available and patient compliance is achieved.  Designed with safety and convenience in mind, the Med-E-Lert Automatic Pill Dispenser features a secured, tamper-proof, locking key system to avoid over-medication. With 28 medication compartments, the Med-E-Lert Automatic Pill Dispenser can be used for medication taken up to 4 times daily. Three different alarm tones and a blinking light alert the patient when medication needs to be taken and will not turn off until the pill dispenser is tilted on its side to dispense the pills. The Med-E-Lert Automatic Pill Dispenser includes three discs that can be inserted to indicate the day of the week and the time of day depending on the number of doses needed daily. Despite its compact size, the Med-E-Lert Automatic Pill Dispenser also features the largest pill compartments of any other pill dispenser.  The Med-E-Lert Automatic Pill Dispenser is designed especially for people with complicated daily medical regimes. Medical care facilities can enjoy the savings the Med-E-Lert Automatic Pill Dispenser brings them by reducing the need for personnel to distribute medication.   MED-E-LERT Electronic Pill Reminder & Dispenser with Solid Cover Specifications:     Compartment Size: Holds Up To 18 Aspirin Size Pills.    Dimensions: 8 inch diameter by 1.5 inch high.    Number of Compartments: 28.    Capacity: ONE Week's Supply Of Pills Up To FOUR Times per Day.    Alarm: LOUD SOUND and Blinking Light.    ","med-e-lert electronic pill reminder and dispenser, pill reminder, pill dispenser, medelert, med e lert, medication reminder, medication dispenser, for people with, rheumatoid, osteoarthritis, elderly, seniors, handicap, disability, arthritis, arthritic, therapy, utensils, tools, devices, aids, products","",942,"","","","","",2,"The Wright Stuff, Inc.","",Around the House,Pill Organizers,Helps to ensure that medications are taken properly and on time. ,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
AAI005,The Quick Desk,http://www.arthritissupplies.com/the-quick-desk.html,12.95,"",http://www.arthritissupplies.com/assets/images/bed-desk-web.jpg,http://www.arthritissupplies.com/assets/images/bed-desk-web.jpg,"",12,183,"The Quick Desk is a comfortable work surface to write on when at home or on the road. Its sturdy, light weight design adjusts effortlessly. It was developed by an arthritis sufferer. The Quick Desks™ locking legs ensure a snug, comfortable fit for anyone. Proper fit is achieved by simply pushing a release button and sliding The Quick Desks legs to your leg for the perfect fit. It's that easy.  When you use The Quick Desk you will find that it's unique design along with its lightweight and versatility make it a must have for yourself and the perfect gift to give to others. Ideal for use at home, when traveling, at the office, during meetings or when attending seminars.   The Quick Desk Specifications:    Work surface measures: 8 inches wide x  9 1/2 inches long.    Material: Molded plastic.    ","the quick desk, quick desk, writing desk, for people with, rheumatoid, osteoarthritis, elderly, seniors, handicap, disability, arthritis, arthritic, therapy, utensils, tools, devices, aids, products","",942,"","","","","",2,"The Wright Stuff, Inc.","",Around the House,Arthritis Writing Aids,A comfortable work surface to write on when at home or on the road.,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
AAI1007,Panoramic Rear View Mirror,http://www.arthritissupplies.com/panoramic-rear-view-mirror.html,29.95,"",http://www.arthritissupplies.com/assets/images/Panoramic-Rear-Vie-_Mirror-Packaging-2.jpg,http://www.arthritissupplies.com/assets/images/Panoramic-Rear-Vie-_Mirror-Packaging-2.jpg,"",12,183,"A Panoramic Rear View Mirror can reduce your blind spots and make driving much safer. Big vehicles always have bigger mirrors, but now you can get the additional safety too. Easy to clip on over your existing mirror, you can be using it in minutes.   Panoramic Rear View Mirror Specifications:    Mounting: clips on over-top of your existing mirror.    Measures: 17 inches x 3 inches.    Construction: convex anti-glare crystal glass.    Safety: shatterproof glass.    ","panoramic mirror, car panoramic mirror, car rear view mirror, panoramic automobile mirror, panoramic rear view mirror, for people with, rheumatoid, osteoarthritis, elderly, seniors, handicap, disability, arthritis, arthritic, therapy, utensils, tools, devices, aids, products","",942,"","","","","",2,"The Wright Stuff, Inc.","",Web Specials,"Coupons, overstock & sale items.",Widens your view to help reduce blind spots while driving.,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
AAM137,Spoon & Fork Holders,http://www.arthritissupplies.com/spoon-and-fork-holders.html,5.95,"",http://www.arthritissupplies.com/assets/images/Utensil_holder_EN37.jpg,http://www.arthritissupplies.com/assets/images/Utensil_holder_EN37.jpg,"",12,183,Spoon and Fork Holders slip on most standard spoons and forks with ease. These oversize handles helps arthritic hands to grip eating utensils. Spoon and Fork Holders can easily be removed for travel. Two holders are included in each package.  	 		 Spoon and Fork Holders Specifications:	  Measures: 3 1/4 x 1 1/8 x 3/4 inch.  Color: white.		  Material: Plastic.  Package: Two per package.  Fits: Standard eating utensils handles.  ,"spoon holder, utensil holder, eating utensil holder, built up handle utensils, adapted eating utensils, arthritis spoon, arthritis fork, arthritic","",942,"","","","","",2,"The Wright Stuff, Inc.","",In the Kitchen,Eating Utensils,Slips on most standard eating utensils with ease,"","","CMI74615,ASN318",,,"","",,"","","","","","","","","","","","","","","","",""
AAM200,Bath Kit,http://www.arthritissupplies.com/bath-kit.html,19.95,"",http://www.arthritissupplies.com/assets/images/AAM200bathkit.jpg,http://www.arthritissupplies.com/assets/images/AAM200bathkit.jpg,"",12,183,"You can use this Bath Kit to make cleaning your feet much easier! Foot brush and toe cleaner mounted on an extra long handle is a great tool for people with limited bending.   The Bath Kit includes 2 toe sponges and 2 round sponges for a great value. Choose from the attached scrub brush or four additional attachments to wash the body easily, without bending or reaching. Use the two small sponges of the Bath Kit for washing between toes or the two round sponges for washing the back and legs.  The attached scrub brush is ideal for washing the bottoms of feet. The long, plastic handle of the Bath Kit holds the scrub brush and accommodates one screw-on attachment at a time.  Non returnable hygiene item.  	Bath Kit Specifications:    Length: 22 inches    Includes: 2 toe sponges and 2 round sponges.   ","bath kit, foot brush,  bath sponge, scrub sponge, long handle bath sponge, long bath sponge, back scrubber for seniors, hip replacement aids, personal hygiene products, hygiene aids, hip kit, occupational therapy, body washer, handicapped aid, therapy supplies, disability aids, handicap bath sponge, arthritis, arthritic, rheumatoid, osteoarthritis, elderly, arthritic","",942,"","","","","",2,"The Wright Stuff, Inc.","",Getting Ready,Grooming and Hygiene Aids,Helps make cleaning your feet much easier!,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
AAM3000,Rainbow Reacher,http://www.arthritissupplies.com/rainbow-reacher.html,10.95,"",http://www.arthritissupplies.com/assets/images/Rainbow_reacher.jpg,http://www.arthritissupplies.com/assets/images/Rainbow_reacher.jpg,"",12,183,"TheRainbow Reacher is designed as a light duty and low cost reacher which anyone could use. This reaching aid is perfect for reaching into nooks and crannies, grabbing things you can't quite reach or don't want to touch. The Rainbow Reacher's flexible rubber cups and jaw opening safely grip small and large items up to 1 pound.   Pick up pills, pencils, paper, wet soap, shampoo bottles, socks and hundreds of other household items. A handy hook and loop strap is included so your Rainbow Reacher will always be close at hand, in the kitchen, office, laundry room or work shop. Fingers open to 4.5 inches with non-latex cups.  Available in 2 lengths:  23 inch reacher weighs 3.7 oz. 32 inch reacher weighs 4.9 oz.  	Rainbow Reacher Specifications:   Fingers open to: 4.5 inches    Available in 2 lengths:   23 or 32 inches.    ","reacher for people with arthritis, grabber, grabbers, rainbow reacher, extend reach, extended reach, occupational therapy, arthritis products, grasping aids, grasping tool, for rheumatoid, osteoarthritis, arthritic, elderly with arthritis, seniors, an arthritis handicap, disability, arthritis therapy utensils, tools, devices, aids","",942,"","","","","",2,"The Wright Stuff, Inc.","",Around the House,"Reachers, Grabber Reachers, Folding Reachers","Perfect for reaching into nooks and crannies, grabbing things you can't quite reach.","","","ASN507,AEZ200",,,"","",,"","","","","","","","","","","","","","","","",""
AAM310,Hand Key-Per,http://www.arthritissupplies.com/hand-key-per-multi-purpose-household-opener.html,9.95,"",http://www.arthritissupplies.com/assets/images/hand_keyper.jpg,http://www.arthritissupplies.com/assets/images/hand_keyper.jpg,"",12,183,"Anyone who's misplaced their keys will like this new product!  Hand Key-Per Multi-Purpose Household Opener not only keeps your keys handy on the fridge or dashboard, it also increases leverage to make daily opening tasks easier. Bag/envelope slitter quickly opens stubborn season packets or food bags.  Two internally stored keys make it easier find house keys in the dark, and to turn door and ignition keys.  It increases hand strength when opening medicine jars, both press-and-turn and aspirin bottles.  A pop-top beverage can opener helps avoid broken fingernails and the magnet also makes it easy to pick up paper clips, ear rings and pins. It even has an emery board for emergency nail repair. Designed of American materials to last a lifetime of normal home use. The Hand Key-per comes complete with instructions. Helpful for everyone. Great for protecting acrylic nails, hands weakened by injury or arthritis, carpal tunnel or repetitive tasks. The Hand Key-per is small enough to fit in your pocket and is easy to use.","multi-purpose household opener, arthritis opener, household opener, arthritic opener, bag slitter, medicine bottle opener, pop-top can opener, multi-opener, envelope slitter, open bag, help opening bags, boxes, cans, containers","",942,"","","","","",2,"The Wright Stuff, Inc.","",Around the House,"Grips, Adapters, Holders",Great multi-purpose household tool,"","","ARP320,AD8241",,,"","",,"","","","","","","","","","","","","","","","",""
ABC213,Benefit Triple Head Toothbrush - Discontinued,http://www.arthritissupplies.com/benefit-plus-triple-head-toothbrush.html,4.95,"",http://www.arthritissupplies.com/assets/images/Benefit_plus_2.jpg,http://www.arthritissupplies.com/assets/images/Benefit_plus_2.jpg,"",12,183,"Benefit Plus Triple Head Toothbrush is ideal for people who need to reduce wrist or arm twisting. Benefit Plus comes with a wide, padded easy to hold handle. With a top brush and two side brushes at an optimal 45 degree angle, it cleans all sides of each tooth with every stroke.  Because it reduces the need to twist the arm or wrist, it is great for people with arthritis, Parkinson's, MS or other similar conditions. It's padded handle protects the sensitive mouth area and is the best brush for use by a caregiver when assisting a person with physical challenges.","benefit plus triple head toothbrush, tooth paste, toothbrush, toothbrush for handicapped, toothbrushes, toothpaste, triple head toothbrush, occupational therapy, personal hygiene products, hygiene aids, handicapped toothbrush, therapy supplies, disability aids, handicap floss aid, disabled toothbrush, arthritis, arthritic","",942,"","","","","",2,"The Wright Stuff, Inc.","",Web Specials,Discontinued Items,Cleans all sides of each tooth with every stroke,"","","",,,"","",,"","","","","","","","","","","","","","","","",""
ABC230,Benefit 3D Clean Toothbrush,http://www.arthritissupplies.com/benefit-3d-clean-toothbrush.html,4.95,"",http://www.arthritissupplies.com/assets/images/3D_Clean_heads.jpg,http://www.arthritissupplies.com/assets/images/3D_Clean_heads.jpg,"",12,183,"The Benefit 3D Clean Toothbrush brushes your teeth right every time almost automatically. It is accepted by the American Dental Association. The unique three brush, flexible head design allows users to clean all three tooth surfaces while it removes plaque buildup and stimulates the gums. The bristles completely surround the teeth, and automatically adjust to tooth contours, lengths and widths. It makes brushing easier, faster and better.   The Benefit Toothbrush is accepted as an effective cleansing device that has been shown to remove plaque and reduce gingivitis when used as directed in a program of good oral hygiene to supplement regular professional care.			Benefit 3D Clean Toothbrush Specifications:									Overall length:		7 inches.							Handle length:		4 ½ inches.							Width:		1 inch wide at  ends, tapered in center.							Colors:		Assorted (sorry, no color choice).				","benefit 3d clean toothbrush, benedent, 3d toothbrush, triple headed toothbrush, toothbrush, benefit toothbrush, 3 head toothbrush, 3 in 1 toothbrush, tongue scraper, tongue cleaner, toothbrush with flexible head, gingivitis reducer, gum stimulator, brushing teeth aid, dental aid, 3 in one toothbrush, benedent toothbrush, for people with, rheumatoid, osteoarthritis, elderly, seniors, handicap, disability, arthritis, arthritic, therapy, utensils, tools, devices, aids, products","",942,"","","","","",2,"The Wright Stuff, Inc.","",Getting Ready,Grooming and Hygiene Aids,Helps you brush your teeth right every time almost automatically.,"","","AMI33,AMC1001",,,"","",,"","","","","","","","","","","","","","","","",""
